id,last_step,country,gender,age,created_at
297309,completed_profile,Algeria,man,21-25,2022-01-01T00:02:55.785
297310,completed_profile,Nicaragua,man,41-45,2022-01-01T00:03:29.733
297311,signed_up,,,,2022-01-01T00:05:34.757
297312,completed_profile,Ecuador,man,31-35,2022-01-01T00:05:41.12
297313,signed_up,,,,2022-01-01T00:07:37.964
297314,unlocked_challenges,Tunisia,man,18-20,2022-01-01T00:16:03.334
297315,unlocked_challenges,Pakistan,man,31-35,2022-01-01T00:18:03.586
297316,completed_challenges,Algeria,man,21-25,2022-01-01T00:19:10.959
297317,completed_profile,Pakistan,man,26-30,2022-01-01T00:19:29.277
297318,is_under_18,Ghana,man,under-18,2022-01-01T00:22:50.363
297319,completed_challenges,Kosovo,man,31-35,2022-01-01T00:24:39.411
297320,no_time_commitment,South Africa,man,31-35,2022-01-01T00:25:14.822
297321,completed_profile,India,man,31-35,2022-01-01T00:25:25.263
297322,completed_challenges,Mexico,man,36-40,2022-01-01T00:27:11.928
297323,completed_profile,Ghana,man,18-20,2022-01-01T00:27:50.221
297324,unlocked_challenges,France,not_answer,21-25,2022-01-01T00:28:46.935
297325,completed_challenges,Tunisia,man,31-35,2022-01-01T00:28:51.551
297326,completed_profile,Italy,man,26-30,2022-01-01T00:29:06.767
297327,completed_profile,Germany,man,26-30,2022-01-01T00:32:27.663
297328,completed_profile,Italy,man,21-25,2022-01-01T00:42:17.675
297329,submitted_english_level,Democratic Republic of the Congo,man,21-25,2022-01-01T00:42:19.374
297330,unlocked_challenges,Brazil,man,21-25,2022-01-01T00:45:20.734
297331,submitted_personal_info,Ghana,man,18-20,2022-01-01T00:46:59.899
297332,no_financial_support,Ecuador,man,36-40,2022-01-01T00:48:06.258
297333,completed_challenges,Pakistan,man,31-35,2022-01-01T00:50:07.676
297334,completed_profile,Nicaragua,woman,over_50,2022-01-01T00:51:25.55
297335,submitted_personal_info,Ukraine,man,36-40,2022-01-01T00:55:03.534
297336,completed_profile,Nigeria,man,26-30,2022-01-01T00:56:45.479
