id,applicant_id,challenge_one_score,challenge_two_score,challenge_three_score,submitted_at
2,23537,3,0,0,2018-10-26T11:49:10
3,21545,3,3,3,2018-10-26T12:34:56
4,23541,0,0,0,2018-10-26T15:01:48
5,23038,3,3,3,2018-10-26T15:03:19
6,23062,3,3,3,2018-10-26T21:56:43
7,23545,3,3,3,2018-10-27T07:53:42
8,23547,3,3,3,2018-10-27T12:50:51
9,23544,3,3,3,2018-10-27T14:44:09
10,23032,3,3,3,2018-10-28T03:31:15
11,23060,0,0,0,2018-10-29T03:13:18
12,23551,3,3,3,2018-10-29T12:55:45
13,21641,3,3,3,2018-10-29T15:10:09
14,21552,3,1,1,2018-10-30T01:58:11
15,21599,3,3,3,2018-10-30T20:11:36
16,23550,1,1,0,2018-10-31T01:21:42
17,23550,3,3,1,2018-10-31T10:10:39
18,21626,3,3,3,2018-10-31T11:06:32
19,23550,3,3,3,2018-10-31T11:59:21
20,21182,3,3,3,2018-10-31T15:06:38
21,23539,3,3,1,2018-10-31T16:46:02
22,23539,3,3,3,2018-10-31T17:02:18
23,21642,3,3,3,2018-10-31T17:30:57
24,23552,1,1,1,2018-11-01T00:09:13
25,21643,1,3,3,2018-11-02T12:55:14
26,21643,3,3,3,2018-11-02T13:46:48
27,20670,3,3,3,2018-11-05T02:00:49
28,23540,3,3,3,2018-11-05T12:11:40
29,23543,3,3,3,2018-11-05T14:10:30
30,21551,3,3,3,2018-11-06T00:02:04
31,21644,3,1,3,2018-11-06T02:00:54
32,21548,3,3,0,2018-11-06T11:16:54
33,21548,3,3,3,2018-11-06T11:42:18
34,21548,3,3,3,2018-11-06T11:43:45
35,21637,3,3,1,2018-11-06T12:51:41
36,21644,3,3,3,2018-11-06T13:13:25
37,20464,3,1,3,2018-11-07T19:36:50
38,20464,3,3,3,2018-11-07T20:10:23
39,23065,0,0,0,2018-11-11T13:59:10
40,21552,3,3,1,2018-11-12T14:23:02
41,21552,3,3,3,2018-11-12T19:54:38
42,23067,1,1,0,2018-11-13T04:15:22
43,21628,3,3,3,2018-11-13T11:45:52
44,21645,3,3,3,2018-11-13T14:35:40
45,20733,3,0,3,2018-11-13T16:00:25
46,20733,3,1,3,2018-11-13T16:51:27
47,20733,3,3,3,2018-11-13T18:12:17
48,21646,3,3,3,2018-11-14T20:52:36
49,21555,1,3,0,2018-11-14T23:00:43
50,21456,3,3,1,2018-11-15T02:39:31
51,23069,3,3,3,2018-11-15T17:09:28
52,21647,3,3,3,2018-11-15T17:09:37
53,20736,3,3,3,2018-11-16T08:56:08
54,21648,3,3,3,2018-11-16T10:48:41
55,21556,3,3,3,2018-11-16T22:28:25
56,23071,3,3,0,2018-11-16T23:53:14
57,23072,3,3,3,2018-11-17T17:25:54
58,21649,3,3,3,2018-11-17T19:11:55
59,21649,3,3,3,2018-11-18T13:35:17
60,20737,3,3,3,2018-11-19T23:44:37
61,23059,3,3,3,2018-11-20T10:34:11
62,23073,3,3,3,2018-11-20T12:59:43
63,23074,3,3,3,2018-11-20T13:16:31
64,23076,3,3,3,2018-11-21T12:16:25
65,23040,3,3,3,2018-11-22T22:55:29
66,21456,3,3,3,2018-11-22T23:22:14
67,23079,3,3,3,2018-11-25T10:09:52
68,23077,1,3,3,2018-11-26T11:59:55
69,20949,3,3,3,2018-11-26T12:14:04
70,23077,1,3,3,2018-11-26T12:14:36
71,23063,3,1,1,2018-11-26T12:14:50
72,21549,3,3,3,2018-11-26T15:09:07
73,21604,0,0,0,2018-11-26T15:18:36
74,21554,3,3,3,2018-11-26T18:52:00
75,21507,3,3,3,2018-11-26T19:01:45
76,22950,3,3,3,2018-11-26T19:36:35
77,21555,3,3,3,2018-11-26T20:51:11
78,21639,3,3,3,2018-11-26T21:32:34
79,23041,3,3,3,2018-11-26T21:59:04
80,23057,3,3,3,2018-11-27T07:55:23
81,22861,3,1,1,2018-11-27T12:55:37
82,23080,0,1,1,2018-11-27T13:03:55
83,23080,3,3,3,2018-11-27T17:09:07
84,21557,3,3,3,2018-11-28T13:00:32
85,23081,3,1,3,2018-11-29T09:42:56
86,20674,3,1,3,2018-11-29T14:20:48
87,20731,3,3,3,2018-11-29T14:40:38
88,20674,3,3,3,2018-11-29T15:59:10
89,21640,3,3,3,2018-12-01T02:38:37
90,21546,3,3,3,2018-12-01T13:34:43
91,21553,0,0,0,2018-12-01T21:08:19
92,21560,0,3,3,2018-12-02T23:43:30
93,21560,3,3,3,2018-12-03T00:08:33
94,23086,3,3,3,2018-12-03T15:05:47
95,23085,3,3,3,2018-12-03T15:38:13
96,23087,1,0,0,2018-12-03T16:06:40
97,23084,3,0,0,2018-12-03T18:29:08
98,21558,3,3,1,2018-12-03T19:16:58
99,21558,3,3,3,2018-12-03T19:31:50
100,23063,0,1,3,2018-12-04T14:49:52
101,21561,3,3,3,2018-12-04T16:51:04
102,23089,3,3,3,2018-12-04T18:41:53
103,21563,3,3,1,2018-12-04T20:31:38
104,23090,3,3,3,2018-12-04T22:29:50
105,23091,3,3,3,2018-12-05T00:00:22
106,21652,3,3,3,2018-12-05T00:54:38
107,21653,3,3,3,2018-12-05T04:31:23
108,21563,3,3,3,2018-12-05T10:16:36
109,21562,3,3,3,2018-12-05T14:24:07
110,23066,0,1,1,2018-12-07T15:33:24
111,23092,3,3,3,2018-12-08T02:07:33
112,23078,3,3,3,2018-12-08T02:18:08
113,21635,3,3,3,2018-12-10T05:06:40
114,23056,3,3,3,2018-12-10T10:38:53
115,20735,3,3,3,2018-12-10T16:53:10
116,21629,3,3,3,2018-12-10T18:29:44
117,23088,3,3,3,2018-12-10T19:41:51
118,21655,3,3,3,2018-12-10T21:49:47
119,23094,1,3,3,2018-12-10T22:00:27
120,23094,3,3,3,2018-12-10T22:32:38
121,21547,3,3,3,2018-12-10T23:57:50
122,20604,3,1,0,2018-12-11T04:17:41
123,21553,3,3,3,2018-12-11T08:42:18
124,23070,1,1,1,2018-12-11T10:53:28
125,21656,3,3,3,2018-12-11T14:39:08
126,23054,3,3,3,2018-12-11T16:40:42
127,21508,3,3,3,2018-12-11T17:52:38
128,21657,3,3,3,2018-12-12T05:31:46
129,20742,3,3,3,2018-12-12T12:18:07
130,21659,3,3,0,2018-12-12T13:03:38
131,21659,3,3,3,2018-12-12T14:19:34
132,23096,1,0,0,2018-12-12T15:50:35
133,21565,3,3,3,2018-12-12T17:40:31
134,21564,3,3,3,2018-12-12T19:05:24
135,21654,3,3,3,2018-12-12T19:31:54
136,21330,3,3,3,2018-12-12T21:18:04
137,21660,3,3,3,2018-12-12T22:23:41
138,21662,3,1,3,2018-12-13T03:26:11
139,21662,3,3,3,2018-12-13T03:53:52
140,20928,1,3,3,2018-12-13T06:17:01
141,23106,3,3,3,2018-12-13T07:21:28
142,23099,3,3,3,2018-12-13T08:13:24
143,23099,3,3,3,2018-12-13T08:36:42
144,21661,3,3,3,2018-12-13T11:50:04
145,23101,3,3,3,2018-12-13T13:10:11
146,21664,1,3,1,2018-12-13T13:42:08
147,21664,3,3,3,2018-12-13T13:47:18
148,21568,3,3,3,2018-12-13T15:09:54
149,23107,0,0,0,2018-12-13T15:21:02
150,20928,3,3,3,2018-12-14T06:18:17
151,20744,3,3,0,2018-12-14T11:21:52
152,21666,3,3,3,2018-12-14T12:28:42
153,23549,3,1,3,2018-12-14T14:53:38
154,23549,3,3,3,2018-12-14T14:59:57
155,23098,3,1,1,2018-12-14T15:32:52
156,21633,3,3,3,2018-12-14T15:34:33
157,23095,3,3,3,2018-12-14T16:20:53
158,21634,3,3,3,2018-12-14T21:45:59
159,20744,3,3,3,2018-12-14T22:15:15
160,23117,3,3,3,2018-12-15T09:12:38
161,20952,3,3,3,2018-12-15T12:55:01
162,21669,3,3,3,2018-12-15T13:23:11
163,21671,3,3,1,2018-12-15T13:24:24
164,23546,1,0,0,2018-12-15T14:14:36
165,21671,3,3,1,2018-12-15T14:42:22
166,21671,3,3,3,2018-12-15T15:19:58
167,21559,3,3,3,2018-12-15T17:24:34
168,23119,1,3,3,2018-12-15T18:47:37
169,23119,3,3,3,2018-12-15T19:16:55
170,23120,3,0,1,2018-12-15T19:53:49
171,21673,3,3,3,2018-12-15T21:48:46
172,23097,1,1,0,2018-12-16T00:53:24
173,23121,3,3,3,2018-12-16T05:25:42
174,21675,3,3,3,2018-12-16T13:27:35
175,21676,3,3,1,2018-12-16T17:02:25
176,21592,3,3,1,2018-12-16T18:52:07
177,21592,3,3,3,2018-12-16T18:59:24
178,21668,3,3,3,2018-12-16T21:04:47
179,21450,3,1,3,2018-12-16T21:35:02
180,21450,3,3,3,2018-12-16T21:57:50
181,21615,3,3,3,2018-12-17T00:23:35
182,21676,3,3,3,2018-12-17T08:48:26
183,23114,3,1,0,2018-12-17T09:31:02
184,20739,3,3,3,2018-12-17T11:35:18
185,23123,3,3,3,2018-12-17T11:36:31
186,21669,3,3,3,2018-12-17T15:24:18
187,23117,3,3,3,2018-12-17T15:44:12
188,20954,3,3,3,2018-12-17T16:52:53
189,20746,3,3,3,2018-12-17T23:40:16
190,21567,3,1,3,2018-12-18T02:12:54
191,21566,3,3,3,2018-12-18T02:30:15
192,20661,3,3,3,2018-12-18T02:35:07
193,20132,3,3,3,2018-12-18T02:42:54
194,21567,3,3,3,2018-12-18T02:49:05
195,21958,0,0,0,2018-12-18T07:59:26
196,23132,3,1,1,2018-12-18T16:25:26
197,20751,3,3,3,2018-12-18T17:32:18
198,21667,3,3,3,2018-12-18T18:13:30
199,23132,3,3,3,2018-12-18T18:22:30
200,23134,3,3,3,2018-12-18T22:45:28
201,23133,3,3,3,2018-12-18T22:54:51
202,20743,3,3,3,2018-12-19T01:01:36
203,21680,3,3,3,2018-12-19T01:24:28
204,23129,3,3,0,2018-12-19T10:39:48
205,23129,3,3,3,2018-12-19T11:28:36
206,23129,3,3,3,2018-12-19T11:49:51
207,23131,3,3,3,2018-12-19T12:16:39
208,22530,3,3,3,2018-12-19T14:37:10
209,23542,3,3,3,2018-12-19T15:45:42
210,21674,3,3,3,2018-12-19T18:11:01
211,21616,3,3,3,2018-12-20T02:10:37
212,23127,3,3,3,2018-12-20T03:33:30
213,21569,3,3,1,2018-12-20T13:10:02
214,21569,3,3,3,2018-12-20T14:05:45
215,21681,3,3,3,2018-12-20T15:18:29
216,21650,3,3,3,2018-12-20T16:36:15
217,23083,1,1,1,2018-12-20T17:55:36
218,20218,0,0,0,2018-12-20T19:00:20
219,20754,3,3,3,2018-12-21T00:15:42
220,23110,0,0,0,2018-12-21T12:44:02
221,23140,3,3,3,2018-12-21T12:58:01
222,20368,1,1,0,2018-12-21T22:48:12
223,20752,3,3,3,2018-12-22T08:18:06
224,20748,3,3,3,2018-12-22T15:00:51
225,23143,3,3,3,2018-12-22T15:09:02
226,23142,3,1,0,2018-12-22T18:49:28
227,23144,3,3,3,2018-12-23T00:09:07
228,23126,3,0,0,2018-12-23T01:02:11
229,21679,3,3,3,2018-12-23T11:38:32
230,20368,3,3,3,2018-12-23T16:39:16
231,20757,3,3,3,2018-12-24T08:25:46
232,23146,1,0,3,2018-12-24T20:01:55
233,23149,3,3,3,2018-12-25T02:56:38
234,21387,3,3,3,2018-12-25T10:17:52
235,20679,3,3,3,2018-12-25T10:20:36
236,23128,3,3,3,2018-12-25T11:08:51
237,21684,3,3,3,2018-12-25T12:48:28
238,23145,3,3,3,2018-12-25T18:55:45
239,21683,3,3,3,2018-12-25T23:48:40
240,20759,3,3,3,2018-12-26T10:22:53
241,23103,3,1,1,2018-12-26T11:31:51
242,23136,3,3,3,2018-12-26T18:01:37
243,23151,1,1,1,2018-12-27T07:17:38
244,23152,3,3,3,2018-12-27T10:27:45
245,23108,3,3,3,2018-12-27T13:09:32
246,23153,3,1,3,2018-12-27T16:51:24
247,20639,3,3,3,2018-12-27T17:27:36
248,23153,3,3,3,2018-12-27T17:34:00
249,23154,1,1,1,2018-12-28T00:26:12
250,23154,1,1,1,2018-12-28T00:49:23
251,20760,3,3,3,2018-12-28T10:49:10
252,23155,3,3,3,2018-12-28T14:00:23
253,20955,3,3,3,2018-12-28T14:01:32
254,21622,3,3,1,2018-12-28T17:17:06
255,21622,3,3,3,2018-12-28T18:06:57
256,23019,3,3,3,2018-12-28T19:39:50
257,22892,3,3,3,2018-12-28T21:10:06
258,20956,3,3,3,2018-12-29T00:05:43
259,23083,3,3,3,2018-12-29T12:08:13
260,23156,3,3,3,2018-12-30T02:37:49
261,20763,3,3,3,2018-12-30T20:26:25
262,21688,3,1,3,2018-12-30T20:50:48
263,21688,3,3,3,2018-12-30T21:03:22
264,20672,3,3,3,2018-12-30T23:26:23
265,21687,3,3,3,2018-12-31T10:51:57
266,21689,3,3,3,2018-12-31T16:56:07
267,23034,3,3,3,2019-01-01T00:48:11
268,20957,3,3,1,2019-01-02T15:43:13
269,20450,3,3,3,2019-01-02T16:19:44
270,20957,3,3,3,2019-01-02T16:50:18
271,23048,3,0,0,2019-01-02T21:43:39
272,20640,3,3,3,2019-01-03T11:15:19
273,23042,3,3,1,2019-01-03T18:08:31
274,23042,3,3,3,2019-01-03T19:01:34
275,21622,3,3,3,2019-01-04T03:46:09
276,20766,1,3,3,2019-01-04T12:34:08
277,23141,3,1,1,2019-01-04T13:16:59
278,20766,1,3,3,2019-01-04T13:39:07
279,20766,3,3,3,2019-01-04T14:46:04
280,23550,3,3,3,2019-01-04T16:39:08
281,23164,3,3,3,2019-01-04T18:06:32
282,23167,3,3,3,2019-01-04T19:37:02
283,23141,3,3,3,2019-01-04T20:35:36
284,21690,3,3,3,2019-01-05T10:48:33
285,20767,3,3,3,2019-01-05T12:03:16
286,23168,3,0,0,2019-01-05T16:48:13
287,23169,3,3,3,2019-01-05T18:06:41
288,23170,3,3,1,2019-01-06T18:00:51
289,20768,3,3,3,2019-01-06T20:20:26
290,23166,3,1,1,2019-01-06T20:27:03
291,23172,3,3,3,2019-01-07T02:39:15
292,20675,3,3,3,2019-01-07T10:48:40
293,23162,3,3,3,2019-01-07T13:47:56
294,23170,3,3,3,2019-01-07T18:14:12
295,23160,3,3,3,2019-01-07T21:45:27
296,23174,3,1,0,2019-01-08T12:01:50
297,23175,3,3,3,2019-01-08T13:59:03
298,20591,3,3,3,2019-01-08T14:00:13
299,21694,3,3,3,2019-01-09T08:32:24
300,23163,3,3,1,2019-01-09T10:12:09
301,23163,3,3,3,2019-01-09T10:14:18
302,22068,0,0,0,2019-01-09T14:00:10
303,21696,3,3,3,2019-01-09T14:52:13
304,21693,0,0,1,2019-01-09T15:46:09
305,21695,3,3,3,2019-01-09T18:34:40
306,21697,3,3,3,2019-01-09T20:32:52
307,23165,1,3,1,2019-01-09T23:39:31
308,21697,3,3,3,2019-01-09T23:59:08
309,23178,3,1,3,2019-01-10T00:51:46
310,23178,3,3,3,2019-01-10T01:59:28
311,21698,3,3,3,2019-01-10T08:57:18
312,20758,3,1,3,2019-01-10T17:24:14
313,20758,3,3,3,2019-01-10T17:29:23
314,20958,3,3,3,2019-01-10T18:50:13
315,21692,3,3,0,2019-01-11T03:32:58
316,21692,3,3,3,2019-01-11T04:13:48
317,23180,3,3,3,2019-01-11T22:28:34
318,23179,3,3,3,2019-01-12T04:54:30
319,22949,3,3,3,2019-01-12T14:52:24
320,21700,3,3,3,2019-01-12T21:59:54
321,20345,3,3,3,2019-01-13T21:20:54
322,20604,3,3,3,2019-01-13T22:37:41
323,23177,3,3,3,2019-01-14T00:50:41
324,20951,3,3,3,2019-01-14T11:24:41
325,23186,3,0,0,2019-01-14T13:07:41
326,23176,3,3,1,2019-01-14T13:50:48
327,23176,3,3,3,2019-01-14T14:00:33
328,20747,3,3,3,2019-01-14T22:13:21
329,23102,3,3,3,2019-01-15T02:30:18
330,20553,3,3,3,2019-01-15T03:44:52
331,23018,3,3,1,2019-01-15T05:47:39
332,23162,3,3,3,2019-01-15T06:03:04
333,23018,3,3,3,2019-01-15T06:34:55
334,21702,3,0,3,2019-01-15T10:35:51
335,21702,3,3,3,2019-01-15T11:41:15
336,20755,3,3,3,2019-01-15T23:43:03
337,20745,3,3,0,2019-01-16T01:38:56
338,21416,3,3,3,2019-01-16T01:43:11
339,20745,3,3,3,2019-01-16T02:21:29
340,23189,0,0,0,2019-01-16T08:44:55
341,20765,3,1,3,2019-01-16T10:24:05
342,20765,3,3,3,2019-01-16T10:29:42
343,21703,3,3,3,2019-01-16T10:50:51
344,23190,3,3,3,2019-01-16T14:07:29
345,20732,3,3,3,2019-01-16T15:37:26
346,23191,3,3,3,2019-01-16T21:29:22
347,23122,1,3,1,2019-01-16T21:51:51
348,23161,3,3,3,2019-01-16T23:33:47
349,21686,3,3,3,2019-01-16T23:53:42
350,23188,3,3,3,2019-01-17T03:45:42
351,21677,3,3,3,2019-01-17T09:51:26
352,21704,3,3,3,2019-01-17T19:28:10
353,20734,3,3,3,2019-01-19T00:52:14
354,23126,3,3,3,2019-01-19T01:41:02
